show_id	show_title	publisher	tags	language	explicit	avg_len_min	freq	episode_id	ep_title	ep_desc	ep_duration_min	soft_start	publish_ts	popularity_score
S020	Self-help Daily	Evergreen Labs	mindset, calm, background, stoicism, uplifting, reflective, soft	es	0	70	weekly	E0039	Self-help Ep 1: Stars and Storms	A self-help episode exploring uplifting with analysis format. Ideal for commute. Includes insights on research.	75	1	2025-09-21 17:08:16	0.178
S020	Self-help Daily	Evergreen Labs	mindset, calm, background, stoicism, uplifting, reflective, soft	es	0	70	weekly	E0040	Self-help Ep 2: Markets & Mindsets	A self-help episode exploring mindset with interview format. Ideal for workout. Includes insights on psychology.	50	1	2025-09-04 07:08:16	0.86
S021	Self-help Deep Dive	Bluewave Studios	mindset, calm, background, stoicism, uplifting, reflective, soft	en	0	80	daily	E0041	Self-help Ep 1: Shadows and Signals	A self-help episode exploring mindset with debate format. Ideal for workout. Includes insights on research.	78	1	2025-08-23 07:08:16	0.262
S021	Self-help Deep Dive	Bluewave Studios	mindset, calm, background, stoicism, uplifting, reflective, soft	en	0	80	daily	E0042	Self-help Ep 2: AI Ethics Roundtable	A self-help episode exploring mindset with debate format. Ideal for workout. Includes insights on psychology.	72	1	2025-08-08 00:08:16	0.123
S022	History Chronicles	Atlas Audio	history, documentary, storytelling, narrative, longform	ru	0	80	weekly	E0043	History Ep 1: Focus & Flow	A history episode exploring longform with debate format. Ideal for workout. Includes insights on news.	90	1	2025-07-26 15:08:16	0.923
S022	History Chronicles	Atlas Audio	history, documentary, storytelling, narrative, longform	ru	0	80	weekly	E0044	History Ep 2: AI Ethics Roundtable	A history episode exploring storytelling with background format. Ideal for sleep. Includes insights on news.	74	1	2025-08-14 00:08:16	0.389
S023	History Daily	Skyline Media	history, documentary, storytelling, narrative, longform	en	0	40	daily	E0045	History Ep 1: AI Ethics Roundtable	A history episode exploring narrative with storytelling format. Ideal for workout. Includes insights on ethics.	39	1	2025-08-05 12:08:16	0.25
S023	History Daily	Skyline Media	history, documentary, storytelling, narrative, longform	en	0	40	daily	E0046	History Ep 2: Empire Echoes	A history episode exploring narrative with interview format. Ideal for workout. Includes insights on psychology.	46	1	2025-08-21 01:08:16	0.461
S024	History Deep Dive	Evergreen Labs	history, documentary, storytelling, narrative, longform	ru	0	18	biweekly	E0047	History Ep 1: Focus & Flow	A history episode exploring longform with background format. Ideal for workout. Includes insights on psychology.	17	1	2025-08-29 05:08:16	0.82
S024	History Deep Dive	Evergreen Labs	history, documentary, storytelling, narrative, longform	ru	0	18	biweekly	E0048	History Ep 2: Shadows and Signals	A history episode exploring narrative with analysis format. Ideal for sleep. Includes insights on news.	18	1	2025-09-15 06:08:16	0.559
S025	Science Chronicles	Skyline Media	science, research, space, climate, interview, lab, discovery, curiosity	es	0	80	biweekly	E0049	Science Ep 1: Markets & Mindsets	A science episode exploring climate with storytelling format. Ideal for commute. Includes insights on strategy.	87	1	2025-08-01 17:08:16	0.734
S025	Science Chronicles	Skyline Media	science, research, space, climate, interview, lab, discovery, curiosity	es	0	80	biweekly	E0050	Science Ep 2: Focus & Flow	A science episode exploring space with debate format. Ideal for focus. Includes insights on ethics.	81	1	2025-08-26 04:08:16	0.457
S026	Science Daily	Evergreen Labs	science, research, space, climate, interview, lab, discovery, curiosity	en	0	18	weekly	E0051	Science Ep 1: AI Ethics Roundtable	A science episode exploring science with background format. Ideal for workout. Includes insights on research.	18	0	2025-07-22 13:08:16	0.964
S026	Science Daily	Evergreen Labs	science, research, space, climate, interview, lab, discovery, curiosity	en	0	18	weekly	E0052	Science Ep 2: AI Ethics Roundtable	A science episode exploring climate with analysis format. Ideal for focus. Includes insights on research.	20	0	2025-09-26 23:08:16	0.67
S027	Science Deep Dive	Bluewave Studios	science, research, space, climate, interview, lab, discovery, curiosity	ru	0	25	daily	E0053	Science Ep 1: Focus & Flow	A science episode exploring climate with storytelling format. Ideal for commute. Includes insights on history.	28	0	2025-10-10 05:08:16	0.935
S027	Science Deep Dive	Bluewave Studios	science, research, space, climate, interview, lab, discovery, curiosity	ru	0	25	daily	E0054	Science Ep 2: Breaking the Pattern	A science episode exploring interview with interview format. Ideal for focus. Includes insights on history.	24	1	2025-07-25 07:08:16	0.835
